"analysis_id","mgi_accession_id","gene_symbol","mouse_life_stage","mouse_strain","parameter_id","parameter_name","pvalue"
"39d9n295keb016a","MGI:1344403","Cfdp1","Early adult","C57BL","IMPC_ACS_034_001","% Pre-pulse inhibition - PPI2",0.2
"39de760x8ta0gyn","MGI:106351","Vcf1","Early adult","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.67
"39e19ldjpge8053","MGI:3037820","Kcna10","Early adult","C57BL","JAX_URI_002_001","Creatinine",0.53
"39guf4450ko9q91","MGI:99602","Acan","E18.5","C57BL","JAX_URI_004_001","Magnesium",0.72
"39hvn6fqdstc3y2","MGI:3607787","Spata21","Early adult","C57BL","IMPC_GEM_068_001","Forebrain morphology",0.53
"39k34hk900isiun","MGI:95864","Gstp2","Early adult","C57BL","IMPC_ECH_008_001","LVIDd",0.18
"39kv0zv655814p6","MGI:98241","Stmn2","E18.5","C57BL","JAX_SLW_002_001","Sleep daily percent",0.3
"39l4194u90o83oy","MGI:3527427","Taar3","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.21
"39ldeagdy119b4z","MGI:1915918","Klk5","Early adult","C57BL","JAX_SLW_002_001","Sleep daily percent",0.62
"39lu6j3lfjt5v23","MGI:1349473","Ppp2r5e","Early adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.2
"39lv4t4e390v881","MGI:95805","Grb2","Early adult","C57BL","IMPC_GEO_019_001","Embryo Size",0.41
"39m0mc22e822nrv","MGI:2685945","Pstk","Early adult","C57BL","IMPC_CBC_017_001","Triglycerides",0.15
"39m1ubxz2776760","MGI:2387194","Qsox2","Early adult","C57BL","JAX_LDT_009_001","Percent time in light",0.92
"39mivq3218y5b39","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.99
"39mz6d3lcv6c11l","MGI:1098746","Ankzf1","Early adult","C57BL","HMGULA_CBC_016_001","HDL-cholesterol",0.45
"39n24cz723sm68l","MGI:98839","Prss1","Early adult","C57BL","IMPC_CBC_014_001","Alkaline phosphatase",0.82
"39npw59dipih110","MGI:99602","Acan","E18.5","C57BL","CCP_XRY_057_001","Kyphosis",0.79
"39ovlv058q9xnyk","MGI:1928486","Tdo2","E15.5","C57BL","JAX_SLW_010_001","Dark sleep bout lengths standard deviation",0.96
"39p85yx029x0f65","MGI:96273","Htr1a","Early adult","C57BL","IMPC_EYE_068_001","Left total retinal thickness",0.4
"39pp7oy87g6972e","MGI:102716","Cryba4","Early adult","C57BL","IMPC_EYE_062_001","Right total retinal thickness",0.89
"39pu423i85g1pbu","MGI:1922928","Ippk","E9.5","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.35
"39q0pr2771wx787","MGI:96217","Hprt1","Early adult","C57BL","IMPC_HEM_001_001","White blood cell count",0.84
"39q5c54a0c3t832","MGI:1926024","Cfap61","Early adult","C57BL","IMPC_EYE_002_001","Bulging eye",0.93
"39rm2k39sq6j4fp","MGI:1915625","Ndufa8","Early adult","C57BL","IMPC_DXA_006_001","Body length",0.39
"39s9ib5w79zbqoe","MGI:1922928","Ippk","E9.5","C57BL","MGP_IMM_121_001","Macrophages - % of CD45+",0.49
"39t4b3a9le85fk3","MGI:2684313","Togaram1","E12.5","C57BL","MGP_IMM_102_001","Immature NK cells - % of lymphocytes",0.61
"39th495h2bk1095","MGI:1919824","Zc3h14","Early adult","C57BL","IMPC_ABR_004_001","6kHz-evoked ABR Threshold",0.85
"39tjg4qjpi5y26h","MGI:1921078","Dcaf4","Early adult","C54BL","JAX_LDT_005_001","Time mobile dark side",0.78
"39u8e3wx5t31k8q","MGI:1921078","Dcaf4","Early adult","C57BL","IMPC_CSD_017_001","Forelimbs - position",0.49
"39uk1zn1u55r2en","MGI:2685031","Leo1","Early adult","C57BL","RBRCLA_HEM_005_001","Mean cell volume",0.66
"39upvd58n5h51h0","MGI:1923549","Erp44","Early adult","C57BL","JAX_LDT_005_001","Time mobile dark side",0.24
"39vm4n7s9y74kv6","MGI:1922928","Ippk","E9.5","C57BL","ESLIM_009_001_704","Forelimb and hindlimb grip strength normalised against body weight",0.81
"39w09fd4h035q3p","MGI:98261","Ccl4","Early adult","C57BL","IMPC_DXA_007_001","BMC/Body weight",0.82
"39wjz6xt77p6m2q","MGI:99160","Zfp14","Early adult","C57BL","M-G-P_026_001_011","Snout morphology",0.14
"39wk50i3f179pjb","MGI:104747","Pkia","Early adult","C57BL","IMPC_CBC_017_001","Triglycerides",0.94
"39x9993q8ju3604","MGI:1921720","Cep72","Early adult","C57BL","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.42
"39xfm0703g5xcc9","MGI:96273","Htr1a","Early adult","C57BL","IMPC_CAL_021_001","Total water intake",0.44
"39y62r56oy539m3","MGI:95805","Grb2","Early adult","C57BL","IMPC_CSD_029_001","Activity (body position)",0.16
"39z50078is4f93j","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_CSD_019_001","Forelimbs - size",0.14
"3a003542d62391b","MGI:1859211","Irf6","Early adult","C57BL","MGP_IMM_121_001","Macrophages - % of CD45+",0.39
"3a173cmka5031cy","MGI:88344","Cd7","Early adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.68
"3a2np7xwm0mttz3","MGI:109349","Atf2","Early adult","C57BL","CCP_XRY_057_001","Kyphosis",0.43
"3a41ow3n181696y","MGI:1859026","Cnot4","Early adult","C57BL","IMPC_EYE_016_001","Lens",0.55
"3a5k8p8st5i52nw","MGI:95805","Grb2","Early adult","C57BL","ESLIM_016_001_005","Mean cell volume",0.36
"3a5tmz54lquiy48","MGI:1921287","Acot6","Early adult","129SV","RBRCLA_HEM_005_001","Mean cell volume",0.21
"3a6ea5gu227omq1","MGI:98905","Usp4","Early adult","C57BL","IMPC_XRY_033_001","Tibia length",0.27
"3a6z0146re681uq","MGI:2141255","Zfp513","Early adult","C57BL","IMPC_EYE_069_001","Left inner nuclear layer",0.55
"3a7qpt362ic90n4","MGI:3646952","Spink14","Early adult","C57BL","IMPC_GEL_063_001","Delayed embryonic development",0.75
"3a83o13209z0qr3","MGI:2147067","Dhx57","Early adult","C57BL","IMPC_HEM_002_001","Red blood cell count",0.98
"3a87nzgl06912v7","MGI:102716","Cryba4","Early adult","C57BL","JAX_ECT_011_001","mA threshold inducing clonic seizure",0.33
"3abw01ptlij0867","MGI:1921287","Acot6","Early adult","C57BL","IMPC_OFD_022_001","Percentage center time",0.92
"3aca2239mcfi4xp","MGI:99160","Zfp14","Early adult","C57BL","IMPC_OFD_022_001","Percentage center time",0.81
"3ahhezv937tro5i","MGI:96273","Htr1a","Early adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.6
"3all70htc45n6kp","MGI:2444401","Snrnp200","Early adult","C57BL","IMPC_HEM_004_001","Hematocrit",0.94
"3aqi16hka83uizh","MGI:1098746","Ankzf1","Early adult","C57BL","IMPC_OFD_020_001","Distance travelled - total",0.93
"3awo2x204b62b4t","MGI:98261","Ccl4","Early adult","C57BL","MGP_PBI_031_001","KLRG1+ mature NK cell number",0.37
"3b086ay766v430y","MGI:3041259","Mettl25","Early adult","C57BL","IMPC_XRY_033_001","Tibia length",0.96
"3b1485hjufbu67c","MGI:98957","Wnt4","Early adult","C57BL","IMPC_OFD_009_001","Whole arena average speed",0.8
"3b19339h594k1m8","MGI:2684313","Togaram1","E12.5","C57BL","CCP_XRY_003_001","Maxilla/Pre-maxilla",0.14
"3b2u4w1ezni2r2x","MGI:106351","Vcf1","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.77
"3b31g5ihq1o752w","MGI:1915340","Yif1a","Early adult","C57BL","CCP_XRY_001_001","Skull shape",0.66
"3b3ck8dhe03ecm1","MGI:97594","Prkacb","Early adult","C57BL","IMPC_GEM_068_001","Forebrain morphology",0.65
"3b5480zo09rln11","MGI:2385186","Clcc1","E9.5","C57BL","JAX_LDT_002_001","Light side time spent",0.25
"3b54ex427y70qj0","MGI:1919588","Wdr89","Early adult","C57BL","M-G-P_006_001_013","Radius",0.6
"3b820u2n96c266u","MGI:99160","Zfp14","Early adult","C57BL","IMPC_ECH_005_001","Fractional Shortening",0.28
"3b88656ud3022u8","MGI:2151224","Alpk3","Early adult","C57BL","IMPC_CSD_039_001","Limb grasp",0.08
"3b89lc31u89033m","MGI:1921275","Nphp3","Early adult","C57BL","MGP_IMM_033_001","Total NK cells - % of CD45+",0.44
"3b8ipm1lwc91hnf","MGI:99160","Zfp14","Early adult","C57BL","IMPC_EYE_024_001","Retinal Blood Vessels",0.35
"3b8sv02x8p0m9h3","MGI:88452","Col2a1","Early adult","C57BL","RBRCLA_HEM_005_001","Mean cell volume",0.21
"3bcg3odw5wvc9gy","MGI:1919824","Zc3h14","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.73
"3bh68y4j4t80mdy","MGI:103250","Calm2","Early adult","C57BL","IMPC_DXA_007_001","BMC/Body weight",0.86
"3bhykt4570304q6","MGI:2684313","Togaram1","Early adult","C57BL","IMPC_XRY_033_001","Tibia length",0.56
"3bm51xt0a0n5642","MGI:2444401","Snrnp200","Early adult","C57BL","IMPC_CBC_028_001","Creatine kinase",0.22
"3bms759sy6n1879","MGI:109151","Ltbp1","Early adult","129SV","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.58
"3bo6m9a46739utg","MGI:2441730","Tbl1xr1","Early adult","C57BL","IMPC_EYE_007_001","Cornea",0.76
"3bo9h83jfrb1hnr","MGI:2685031","Leo1","Early adult","C57BL","IMPC_DXA_007_001","BMC/Body weight",0.55
"3bs2krl0wvbpm59","MGI:2443796","Scart1","Early adult","C57BL","KMPCLA_HEM_007_001","Mean cell hemoglobin concentration",0.39
"3bsb3h1x59snd07","MGI:1098746","Ankzf1","Early adult","C57BL","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.17
"3bzs2l02p45ll79","MGI:1859026","Cnot4","Early adult","C57BL","RBRCLA_HEM_005_001","Mean cell volume",0.83
"3c0qn36nzl27qx5","MGI:1859026","Cnot4","Early adult","C57BL","IMPC_CSD_039_001","Limb grasp",0.89
"3c1se33q2bo9xs9","MGI:3652039","Rad21l","Late adult","C57BL","IMPC_CSD_017_001","Forelimbs - position",0.51
"3c48g98g7l906fs","MGI:1277171","Dcx","Early adult","C57BL","MGP_IMM_033_001","Total NK cells - % of CD45+",0.12
"3c806yk85i7gkaq","MGI:103250","Calm2","Early adult","C57BL","IMPC_GEM_063_001","Facial cleft",0.93
"3ccbf80661y7b52","MGI:99602","Acan","E18.5","C57BL","IMPC_DXA_003_001","Lean mass",0.7
"3cd25ee544t31qz","MGI:88452","Col2a1","Early adult","C57BL","IMPC_EYE_014_001","Pupil Light Response",0.57
"3cmso0r06ivi4k7","MGI:1339759","Csf2rb","Early adult","C57BL","IMPC_CBC_006_001","Total protein",0.45
"3cotv0336t958bd","MGI:1916943","Pof1b","Early adult","C57BL","IMPC_HEM_003_001","Hemoglobin",0.49
"3ctqopod4l41bt1","MGI:2385186","Clcc1","E9.5","C57BL","JAX_LDT_004_001","Dark side time spent",0.71
"3cw6xqvc0wpv5wy","MGI:1344403","Cfdp1","Early adult","C57BL","JAX_LDT_004_001","Dark side time spent",0.14
"3d0nyl69b7d8p05","MGI:3037820","Kcna10","Early adult","C57BL","M-G-P_005_001_001","Weight",0.19
"3d27h3p3878fe1l","MGI:1917022","Bdh2","Early adult","C57BL","IMPC_ECH_009_001","LVPWd",0.2
"3d2f8jele417fn0","MGI:3652039","Rad21l","Late adult","C57BL","MGP_IMM_121_001","Macrophages - % of CD45+",0.77
"3d3rl359q17qj95","MGI:106351","Vcf1","Early adult","C57BL","IMPC_ECH_008_001","LVIDd",0.93
"3d3zc4147nz3sji","MGI:1916943","Pof1b","Early adult","C57BL","IMPC_ABR_004_001","6kHz-evoked ABR Threshold",0.78
"3d40118782223go","MGI:107628","Prdm2","Early adult","C57BL","MGP_IMM_104_001","Mature NK cells - % of lymphocytes",0.16
"3d44tfz55wy25xf","MGI:98839","Prss1","Early adult","C57BL","IMPC_EYE_014_001","Pupil Light Response",0.93
"3d45e1i3b54x7xa","MGI:1339998","Efemp1","Early adult","C57BL","IMPC_ECH_011_001","LVIDs",0.56
"3d47x2hqztmo7j3","MGI:95777","Gnas","Early adult","129SV","IMPC_HEM_038_001","Basophil differential count",0.51
"3d5ss690q46zi92","MGI:102716","Cryba4","Early adult","C57BL","JAX_HBD_001_001","Total holepokes",0.48
"3d6n7714b9qx2ur","MGI:2441730","Tbl1xr1","Early adult","C57BL","JAX_URI_004_001","Magnesium",0.83
"3d6q2ts413l3k0b","MGI:88344","Cd7","Early adult","C57BL","IMPC_EYE_083_001","Vitreous",0.59
"3d71sx5x4ta621c","MGI:98261","Ccl4","Early adult","C57BL","IMPC_HWT_002_001","Tibia length",0.6
"3d834g74z1ytrq0","MGI:1333782","Pld3","Early adult","C57BL","IMPC_CBC_016_001","HDL-cholesterol",0.57
"3d94qr00md2075h","MGI:109349","Atf2","Early adult","C57BL","RBRCLA_HEM_005_001","Mean cell volume",0.58
"3d9o0l8dd28uzz9","MGI:1919824","Zc3h14","Early adult","C57BL","IMPC_CBC_017_001","Triglycerides",0.7
"3d9sn7o26z2c4ub","MGI:1277171","Dcx","Early adult","C57BL","ESLIM_021_001_005","HDL-cholesterol",0.69
"3dadg31b040x4tj","MGI:2443796","Scart1","Early adult","C57BL","IMPC_CBC_008_001","Total bilirubin",0.79
"3di898j5bvu28zq","MGI:1932970","Ucn3","Early adult","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.17
"3dl4py8aqwlj38k","MGI:3041259","Mettl25","Early adult","C57BL","IMPC_HEM_007_001","Mean cell hemoglobin concentration",0.87
"3dlm206nv46j33p","MGI:1344403","Cfdp1","Early adult","C57BL","JAX_LDT_005_001","Time mobile dark side",0.06
"3dlx9921t7cy19w","MGI:2685031","Leo1","Early adult","C57BL","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0.57
"3dq761zjhbo5kyi","MGI:1914852","Necap1","Early adult","C57BL","IMPC_CSD_029_001","Activity (body position)",0.32
"3ds6i57xfc2l9ou","MGI:98241","Stmn2","Early adult","C57BL","KMPCLA_HEM_007_001","Mean cell hemoglobin concentration",0.8
"3dwf6s8rf055q41","MGI:1890564","Rcan1","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.78
"3e0kj8eo27y3ei2","MGI:2136890","Setd4","Early adult","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.94
"3e0l400u61524nx","MGI:97808","Ptpra","Early adult","C57BL","JAX_LDT_002_001","Light side time spent",0.21
"3e0w03z13i3a983","MGI:1915340","Yif1a","Early adult","C57BL","IMPC_EYE_007_001","Cornea",0.09
"3e1704jn22rf0c4","MGI:96217","Hprt1","Early adult","C57BL","IMPC_HEM_027_001","Red blood cell distribution width",0.28
"3e34150qve83a12","MGI:1919192","Myof","Early adult","C57BL","IMPC_HEM_027_001","Red blood cell distribution width",0.51
"3e41wr4374z56oc","MGI:1339998","Efemp1","Early adult","C57BL","JAX_URI_005_001","Glucose",0.95
"3e4t1wbpxt91z98","MGI:2385186","Clcc1","E12.5","C57BL","JAX_SLW_010_001","Dark sleep bout lengths standard deviation",0.58
"3e51cdh85q4794w","MGI:2443796","Scart1","Early adult","C57BL","MGP_IMM_102_001","Immature NK cells - % of lymphocytes",0.89
"3e55g34s2j23688","MGI:1922928","Ippk","E12.5","C57BL","IMPC_CBC_007_001","Albumin",0.41
"3e77z9x3g5p34o9","MGI:88452","Col2a1","Early adult","C57BL","IMPC_GRS_009_001","Forelimb and hindlimb grip strength measurement mean",0.9
"3e89923f3mihh42","MGI:1915267","Mrm2","Early adult","C57BL","JAX_SLW_010_001","Dark sleep bout lengths standard deviation",0.47
"3e9h3g13q9y1nme","MGI:1349473","Ppp2r5e","Early adult","C57BL","IMPC_EYE_017_001","Lens Opacity",0.07
"3eci6u546le3331","MGI:98957","Wnt4","Early adult","C57BL","IMPC_ABR_006_001","12kHz-evoked ABR Threshold",0.22
"3edv2045c44atgo","MGI:1277171","Dcx","Early adult","C57BL","IMPC_EYE_024_001","Retinal Blood Vessels",0.37
"3ef8523i00k1j0f","MGI:2684313","Togaram1","E12.5","C57BL","IMPC_CAL_021_001","Total water intake",0.9
"3ej7ue76v9aeh8u","MGI:109151","Ltbp1","Early adult","129SV","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.78
"3eom58wa6a5s67w","MGI:2137026","P2rx5","Early adult","C57BL","MGP_IMM_100_001","Resting NK cells - % of CD45+",0.34
"3erz7bg2xdbd06p","MGI:109151","Ltbp1","Early adult","C57BL","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.87
"3esdcjru9ucpp11","MGI:106351","Vcf1","Early adult","129SV","IMPC_HEM_007_001","Mean cell hemoglobin concentration",0.47
"3eul5795s2q052w","MGI:95864","Gstp2","Early adult","C57BL","IMPC_ABR_004_001","6kHz-evoked ABR Threshold",0.05
"3eusz3yxyo8gkre","MGI:1932970","Ucn3","Early adult","C57BL","IMPC_CSD_009_001","Coat - color pattern - head",0.81
"3ey600lt581a2mj","MGI:1347361","Mmp23","Early adult","C57BL","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.85
"3f01g24x209cy84","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_ABR_012_001","30kHz-evoked ABR Threshold",0.81
"3f054g606wu5g87","MGI:1926024","Cfap61","Early adult","C57BL","IMPC_EYE_067_001","Left anterior chamber depth",0.76
"3f0b4r8s04x73h3","MGI:1923549","Erp44","Early adult","C57BL","ESLIM_016_001_002","Red blood cell count",0.57
"3f0hzl21ccp3vr2","MGI:1915625","Ndufa8","Early adult","C57BL","MGP_PBI_031_001","KLRG1+ mature NK cell number",0.52
"3f1189y5x1d7zxq","MGI:96217","Hprt1","Early adult","C57BL","IMPC_ABR_012_001","30kHz-evoked ABR Threshold",0.28
"3f13vk47wmq8gg3","MGI:1333782","Pld3","Early adult","C57BL","IMPC_ABR_008_001","18kHz-evoked ABR Threshold",0.95
"3f1ddb3okl2o8ml","MGI:1344403","Cfdp1","Early adult","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.73
"3f364c7epvo49t2","MGI:1919824","Zc3h14","Early adult","C57BL","RBRCLA_YMZ_005_001","Alternation ratio per number of triplets",0.43
"3f3jowz96b731u9","MGI:2141255","Zfp513","Early adult","C57BL","IMPC_ABR_010_001","24kHz-evoked ABR Threshold",0.77
"3f3oocr6g8c516k","MGI:1921287","Acot6","Early adult","129SV","IMPC_HWT_002_001","Tibia length",0.59
"3f4a2palfg4gx17","MGI:1915759","Ptx4","Early adult","C57BL","IMPC_ECH_009_001","LVPWd",0.78
"3f5y97w0jcj54dn","MGI:1928486","Tdo2","Early adult","C57BL","IMPC_GEM_027_001","Limb Bud Morphology",0.61
"3f769cq8p9u86ji","MGI:95777","Gnas","Early adult","129SV","ESLIM_016_001_005","Mean cell volume",0.85
"3f8z75623e5c95b","MGI:1918588","Tprg1","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.67
"3fc082po991gin0","MGI:109151","Ltbp1","Early adult","C57BL","KMPCLA_HEM_007_001","Mean cell hemoglobin concentration",0.31
"3fd8h47abm5274v","MGI:2147067","Dhx57","Early adult","C57BL","IMPC_CBC_008_001","Total bilirubin",0.91
"3fhv0b6qn4g684k","MGI:99602","Acan","E15.5","C57BL","IMPC_CBC_009_001","Calcium",0.53
"3fqb89571q2kd12","MGI:99602","Acan","Early adult","C57BL","IMPC_CBC_008_001","Total bilirubin",0.17
"3fqlc0ky5nd3qqm","MGI:88452","Col2a1","Early adult","C57BL","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.68
"3fqlh4d6krswu33","MGI:3652039","Rad21l","Late adult","C57BL","ESLIM_009_001_704","Forelimb and hindlimb grip strength normalised against body weight",0.57
"3frg9139m8m37x4","MGI:98261","Ccl4","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.11
"3fujpx914524tr7","MGI:96217","Hprt1","Early adult","C57BL","IMPC_HEM_008_001","Platelet count",0.71
"3fz25vo5hi36of0","MGI:2145567","Fam149b","Early adult","C57BL","IMPC_ECH_005_001","Fractional Shortening",0.54
"3g04arln0s8586m","MGI:1196466","Dsg2","Early adult","C57BL","ESLIM_011_001_005","PP4 startle magnitude",0.88
"3g17x9r4l3sz8v5","MGI:3527427","Taar3","Early adult","C57BL","IMPC_ECH_010_001","LVAWs",0.76
"3g196vgi8822712","MGI:99602","Acan","E15.5","C57BL","IMPC_ABR_010_001","24kHz-evoked ABR Threshold",0.38
"3g1b207n0xxmmew","MGI:1926024","Cfap61","Early adult","C57BL","IMPC_EYE_068_001","Left total retinal thickness",0.34
"3g2n420gt0567eo","MGI:2684313","Togaram1","Early adult","C57BL","IMPC_CSD_009_001","Coat - color pattern - head",0.36
"3g362149b98kp17","MGI:2684313","Togaram1","E12.5","C57BL","RBRCLA_HEM_005_001","Mean cell volume",0.66
"3g380w03ro4xiuj","MGI:1919824","Zc3h14","Early adult","C57BL","HMGULA_CBC_016_001","HDL-cholesterol",0.97
"3g72vzo2mvybh52","MGI:96217","Hprt1","Early adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.94
"3g8527338tkmf9r","MGI:1347361","Mmp23","Early adult","C57BL","HMGULA_HWT_008_001","Heart weight",0.61
"3g8e53jr9sn728a","MGI:1916387","Vstm5","Early adult","C57BL","IMPC_OFD_020_001","Distance travelled - total",0.12
"3g9awtmesa8653a","MGI:88289","Cbx2","Early adult","C57BL","MGP_IMM_033_001","Total NK cells - % of CD45+",0.71
"3gciyj90l9n3olo","MGI:2661120","Actr3b","Early adult","C57BL","IMPC_CBC_014_001","Alkaline phosphatase",0.29
"3gcm42147042key","MGI:1339711","Myh1","Early adult","C57BL","IMPC_HEM_002_001","Red blood cell count",0
"3ge1x885ul51923","MGI:1277171","Dcx","Early adult","C57BL","IMPC_ECH_005_001","Fractional Shortening",0.12
"3gg061z42zripiq","MGI:88289","Cbx2","Early adult","C57BL","MGP_IMM_104_001","Mature NK cells - % of lymphocytes",0.83
"3ggk8b9k231oshj","MGI:1333782","Pld3","Early adult","C57BL","M-G-P_025_001_012","Lactate dehydrogenase",0.71
"3gn2266at495f7c","MGI:109349","Atf2","Early adult","C57BL","IMPC_GEP_004_002","Spontaneous movement",0.58
"3go10l78dta3vjw","MGI:98905","Usp4","Early adult","C57BL","IMPC_GEO_019_001","Embryo Size",0.22
"3gr683uc5a93j2l","MGI:107628","Prdm2","Early adult","C57BL","M-G-P_005_001_001","Weight",0.98
"3gr71tb0590f506","MGI:95805","Grb2","Early adult","C57BL","IMPC_CBC_016_001","HDL-cholesterol",0.1
"3gtb6074dwo7ew2","MGI:2137026","P2rx5","Early adult","C57BL","JAX_LDT_002_001","Light side time spent",0.57
"3gxp888134l6n60","MGI:1919588","Wdr89","Early adult","C57BL","CCP_XRY_001_001","Skull shape",0.11
"3h0f8maa672g5l3","MGI:98241","Stmn2","Early adult","C57BL","CCP_XRY_002_001","Zygomatic bone",0.38
"3h13dszh016gf0a","MGI:3652039","Rad21l","Middle aged adult","C57BL","IMPC_GEP_004_002","Spontaneous movement",0.78
"3h3533r204j3hp3","MGI:3652039","Rad21l","Early adult","C57BL","IMPC_CSD_029_001","Activity (body position)",0.29
"3h36f53dy9ns710","MGI:2151224","Alpk3","Early adult","C57BL","IMPC_EYE_026_001","Retinal Blood Vessels Pattern",0.67
"3h4uaiw4926uvtk","MGI:109349","Atf2","Early adult","C57BL","IMPC_CSD_023_001","Vibrissae - presence",0.07
"3h6wx3a4y3babz5","MGI:1859211","Irf6","Early adult","C57BL","ESLIM_011_001_004","PP3 startle magnitude",0.46
"3h7u1uf877lk094","MGI:3607787","Spata21","Early adult","C57BL","IMPC_CBC_016_001","HDL-cholesterol",0.84
"3h817wca6os1b69","MGI:2388280","Polr2b","E9.5","C57BL","IMPC_CBC_009_001","Calcium",0.5
"3h86teb262lto57","MGI:1915267","Mrm2","Early adult","C57BL","JAX_OFD_021_001","Number of rears - total",0.39
"3h880i558638c5w","MGI:1915340","Yif1a","Early adult","C57BL","IMPC_IPG_010_001","Fasted blood glucose concentration",0.42
